#,场景,子场景,数据来源,是否多轮,组别,测试数据,参考答案
64,催收多轮对话场景,无,FAQ相似问,多轮,9,I don't think I owe anything.,Waiting until next month is too long. Could you try resolving it this week?
65,催收多轮对话场景,无,FAQ相似问,多轮,9,I don't think I owe anything.,Thank you for telling us. Please provide proof of payment so we can stop the reminders.
66,催收多轮对话场景,无,FAQ相似问,多轮,9,I'm going to complain to OJK.,When exactly is your salary due? It will help us avoid escalation.
67,催收多轮对话场景,无,FAQ相似问,多轮,9,I don't think I owe anything.,We’re required to follow up. Could you tell us your plan to settle this?
68,催收多轮对话场景,无,FAQ相似问,多轮,9,I'm very stressed about this.,"We understand it’s stressful. Still, when can you complete the payment?"
69,催收多轮对话场景,无,FAQ相似问,多轮,9,Maybe I'll pay next month.,"Currently, a minimum repayment of 30% is required within 24 hours. Can you do that?"
70,催收多轮对话场景,无,FAQ相似问,多轮,10,Matt,"Hi Mr. Matt, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
71,催收多轮对话场景,无,FAQ相似问,多轮,10,Stop bothering me.,We’re required to follow up. Could you tell us your plan to settle this?
72,催收多轮对话场景,无,FAQ相似问,多轮,10,Can I pay part of it?,"Currently, a minimum repayment of 30% is required within 24 hours. Can you do that?"
73,催收多轮对话场景,无,FAQ相似问,多轮,10,Maybe I'll pay next month.,Our records confirm the balance. Can you check and update us by today?
74,催收多轮对话场景,无,FAQ相似问,多轮,10,Can I pay part of it?,"Hi, we always follow OJK rules. You may complain if needed, but we still must resolve this."
75,催收多轮对话场景,无,FAQ相似问,多轮,10,I'm going to complain to OJK.,That’s a good step. Can you confirm if you’ll pay within a few days?
76,催收多轮对话场景,无,FAQ相似问,多轮,10,Stop bothering me.,"I understand your concern, but delaying will lead to fees. When can you arrange payment?"
77,催收多轮对话场景,无,FAQ相似问,多轮,10,Why is the amount so high?,"I understand your concern, but delaying will lead to fees. When can you arrange payment?"
78,催收多轮对话场景,无,FAQ相似问,多轮,10,Maybe I'll pay next month.,"We understand it’s stressful. Still, when can you complete the payment?"
79,催收多轮对话场景,无,FAQ相似问,多轮,11,Jim,"Hi Mr. Jim, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
80,催收多轮对话场景,无,FAQ相似问,多轮,11,Can I pay part of it?,"That amount includes principal, interest, and late fees. Please confirm when you'll pay."
81,催收多轮对话场景,无,FAQ相似问,多轮,11,Can I pay part of it?,That’s a good step. Can you confirm if you’ll pay within a few days?
82,催收多轮对话场景,无,FAQ相似问,多轮,11,Why is the amount so high?,"Currently, a minimum repayment of 30% is required within 24 hours. Can you do that?"
83,催收多轮对话场景,无,FAQ相似问,多轮,11,Can I pay part of it?,"I understand your concern, but delaying will lead to fees. When can you arrange payment?"
84,催收多轮对话场景,无,FAQ相似问,多轮,12,Kevin,"Hi Mr. Kevin, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
85,催收多轮对话场景,无,FAQ相似问,多轮,12,I'm waiting for my salary.,"That amount includes principal, interest, and late fees. Please confirm when you'll pay."
86,催收多轮对话场景,无,FAQ相似问,多轮,12,I'm going to complain to OJK.,"I understand your concern, but delaying will lead to fees. When can you arrange payment?"
87,催收多轮对话场景,无,FAQ相似问,多轮,12,I don't have money now.,"I understand your concern, but delaying will lead to fees. When can you arrange payment?"
88,催收多轮对话场景,无,FAQ相似问,多轮,12,I don't have money now.,Thank you for telling us. Please provide proof of payment so we can stop the reminders.
89,催收多轮对话场景,无,FAQ相似问,多轮,12,I'm waiting for my salary.,We’re required to follow up. Could you tell us your plan to settle this?
90,催收多轮对话场景,无,FAQ相似问,多轮,12,I'll try asking my family.,"Hi, we always follow OJK rules. You may complain if needed, but we still must resolve this."
91,催收多轮对话场景,无,FAQ相似问,多轮,13,Jack,"Hi Mr. Jack, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
92,催收多轮对话场景,无,FAQ相似问,多轮,13,I already paid it.,Waiting until next month is too long. Could you try resolving it this week?
93,催收多轮对话场景,无,FAQ相似问,多轮,13,Can I pay part of it?,We’re required to follow up. Could you tell us your plan to settle this?
94,催收多轮对话场景,无,FAQ相似问,多轮,13,I'm going to complain to OJK.,Our records confirm the balance. Can you check and update us by today?
95,催收多轮对话场景,无,FAQ相似问,多轮,13,Why is the amount so high?,"We understand it’s stressful. Still, when can you complete the payment?"
96,催收多轮对话场景,无,FAQ相似问,多轮,14,Dave,"Hi Mr. Dave, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
97,催收多轮对话场景,无,FAQ相似问,多轮,14,Maybe I'll pay next month.,"Currently, a minimum repayment of 30% is required within 24 hours. Can you do that?"
98,催收多轮对话场景,无,FAQ相似问,多轮,14,I'm waiting for my salary.,"Currently, a minimum repayment of 30% is required within 24 hours. Can you do that?"
99,催收多轮对话场景,无,FAQ相似问,多轮,14,Stop bothering me.,"I understand your concern, but delaying will lead to fees. When can you arrange payment?"
100,催收多轮对话场景,无,FAQ相似问,多轮,14,I'm very stressed about this.,"Hi, we always follow OJK rules. You may complain if needed, but we still must resolve this."
101,催收多轮对话场景,无,FAQ相似问,多轮,15,Paul,"Hi Mr. Paul, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
102,催收多轮对话场景,无,FAQ相似问,多轮,15,Maybe I'll pay next month.,"Hi, we always follow OJK rules. You may complain if needed, but we still must resolve this."
103,催收多轮对话场景,无,FAQ相似问,多轮,15,I already paid it.,"I understand your concern, but delaying will lead to fees. When can you arrange payment?"
104,催收多轮对话场景,无,FAQ相似问,多轮,15,I'll try asking my family.,Thank you for telling us. Please provide proof of payment so we can stop the reminders.
105,催收多轮对话场景,无,FAQ相似问,多轮,15,Maybe I'll pay next month.,"Hi, we always follow OJK rules. You may complain if needed, but we still must resolve this."
106,催收多轮对话场景,无,FAQ相似问,多轮,16,Brian,"Hi Mr. Brian, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
107,催收多轮对话场景,无,FAQ相似问,多轮,16,I'm very stressed about this.,When exactly is your salary due? It will help us avoid escalation.
108,催收多轮对话场景,无,FAQ相似问,多轮,16,I'm going to complain to OJK.,"That amount includes principal, interest, and late fees. Please confirm when you'll pay."
109,催收多轮对话场景,无,FAQ相似问,多轮,16,I'm going to complain to OJK.,When exactly is your salary due? It will help us avoid escalation.
110,催收多轮对话场景,无,FAQ相似问,多轮,16,I don't have money now.,We’re required to follow up. Could you tell us your plan to settle this?
111,催收多轮对话场景,无,FAQ相似问,多轮,17,Joe,"Hi Mr. Joe, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
112,催收多轮对话场景,无,FAQ相似问,多轮,17,I'll try asking my family.,"I understand your concern, but delaying will lead to fees. When can you arrange payment?"
113,催收多轮对话场景,无,FAQ相似问,多轮,17,Maybe I'll pay next month.,When exactly is your salary due? It will help us avoid escalation.
114,催收多轮对话场景,无,FAQ相似问,多轮,17,I'll try asking my family.,Our records confirm the balance. Can you check and update us by today?
115,催收多轮对话场景,无,FAQ相似问,多轮,17,Why is the amount so high?,Our records confirm the balance. Can you check and update us by today?
116,催收多轮对话场景,无,FAQ相似问,多轮,17,I already paid it.,We’re required to follow up. Could you tell us your plan to settle this?
117,催收多轮对话场景,无,FAQ相似问,多轮,18,Dan,"Hi Mr. Dan, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
118,催收多轮对话场景,无,FAQ相似问,多轮,18,I'm going to complain to OJK.,Waiting until next month is too long. Could you try resolving it this week?
119,催收多轮对话场景,无,FAQ相似问,多轮,18,Stop bothering me.,We’re required to follow up. Could you tell us your plan to settle this?
120,催收多轮对话场景,无,FAQ相似问,多轮,18,Stop bothering me.,That’s a good step. Can you confirm if you’ll pay within a few days?
121,催收多轮对话场景,无,FAQ相似问,多轮,18,Maybe I'll pay next month.,Our records confirm the balance. Can you check and update us by today?
122,催收多轮对话场景,无,FAQ相似问,多轮,18,Stop bothering me.,"That amount includes principal, interest, and late fees. Please confirm when you'll pay."
123,催收多轮对话场景,无,FAQ相似问,多轮,18,I don't have money now.,Thank you for telling us. Please provide proof of payment so we can stop the reminders.
124,催收多轮对话场景,无,FAQ相似问,多轮,18,I don't have money now.,"We understand it’s stressful. Still, when can you complete the payment?"
125,催收多轮对话场景,无,FAQ相似问,多轮,19,Jack,"Hi Mr. Jack, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
126,催收多轮对话场景,无,FAQ相似问,多轮,19,Why is the amount so high?,That’s a good step. Can you confirm if you’ll pay within a few days?
127,催收多轮对话场景,无,FAQ相似问,多轮,19,I already paid it.,"I understand your concern, but delaying will lead to fees. When can you arrange payment?"
128,催收多轮对话场景,无,FAQ相似问,多轮,19,Maybe I'll pay next month.,That’s a good step. Can you confirm if you’ll pay within a few days?
129,催收多轮对话场景,无,FAQ相似问,多轮,19,I'm going to complain to OJK.,When exactly is your salary due? It will help us avoid escalation.
130,催收多轮对话场景,无,FAQ相似问,多轮,19,Can I pay part of it?,"Currently, a minimum repayment of 30% is required within 24 hours. Can you do that?"
131,催收多轮对话场景,无,FAQ相似问,多轮,19,Why is the amount so high?,"I understand your concern, but delaying will lead to fees. When can you arrange payment?"
132,催收多轮对话场景,无,FAQ相似问,多轮,19,I don't have money now.,Thank you for telling us. Please provide proof of payment so we can stop the reminders.
133,催收多轮对话场景,无,FAQ相似问,多轮,20,Jack,"Hi Mr. Jack, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
134,催收多轮对话场景,无,FAQ相似问,多轮,20,Can I pay part of it?,"Hi, we always follow OJK rules. You may complain if needed, but we still must resolve this."
135,催收多轮对话场景,无,FAQ相似问,多轮,20,Can I pay part of it?,That’s a good step. Can you confirm if you’ll pay within a few days?
136,催收多轮对话场景,无,FAQ相似问,多轮,20,I'll try asking my family.,"I understand your concern, but delaying will lead to fees. When can you arrange payment?"
137,催收多轮对话场景,无,FAQ相似问,多轮,20,I'm waiting for my salary.,"Currently, a minimum repayment of 30% is required within 24 hours. Can you do that?"
138,催收多轮对话场景,无,FAQ相似问,多轮,21,Paul,"Hi Mr. Paul, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
139,催收多轮对话场景,无,FAQ相似问,多轮,21,I already paid it.,When exactly is your salary due? It will help us avoid escalation.
140,催收多轮对话场景,无,FAQ相似问,多轮,21,Stop bothering me.,"Hi, we always follow OJK rules. You may complain if needed, but we still must resolve this."
141,催收多轮对话场景,无,FAQ相似问,多轮,21,I'm very stressed about this.,Thank you for telling us. Please provide proof of payment so we can stop the reminders.
142,催收多轮对话场景,无,FAQ相似问,多轮,21,Can I pay part of it?,"Currently, a minimum repayment of 30% is required within 24 hours. Can you do that?"
143,催收多轮对话场景,无,FAQ相似问,多轮,21,Why is the amount so high?,Waiting until next month is too long. Could you try resolving it this week?
144,催收多轮对话场景,无,FAQ相似问,多轮,21,I don't have money now.,Waiting until next month is too long. Could you try resolving it this week?
145,催收多轮对话场景,无,FAQ相似问,多轮,21,I already paid it.,Thank you for telling us. Please provide proof of payment so we can stop the reminders.
146,催收多轮对话场景,无,FAQ相似问,多轮,22,Matt,"Hi Mr. Matt, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
147,催收多轮对话场景,无,FAQ相似问,多轮,22,Why is the amount so high?,"Hi, we always follow OJK rules. You may complain if needed, but we still must resolve this."
148,催收多轮对话场景,无,FAQ相似问,多轮,22,I already paid it.,"I understand your concern, but delaying will lead to fees. When can you arrange payment?"
149,催收多轮对话场景,无,FAQ相似问,多轮,22,Maybe I'll pay next month.,Thank you for telling us. Please provide proof of payment so we can stop the reminders.
150,催收多轮对话场景,无,FAQ相似问,多轮,22,I'm waiting for my salary.,Our records confirm the balance. Can you check and update us by today?
151,催收多轮对话场景,无,FAQ相似问,多轮,22,I'll try asking my family.,"Currently, a minimum repayment of 30% is required within 24 hours. Can you do that?"
152,催收多轮对话场景,无,FAQ相似问,多轮,22,I'll try asking my family.,Thank you for telling us. Please provide proof of payment so we can stop the reminders.
153,催收多轮对话场景,无,FAQ相似问,多轮,23,Bob,"Hi Mr. Bob, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
154,催收多轮对话场景,无,FAQ相似问,多轮,23,Can I pay part of it?,"Hi, we always follow OJK rules. You may complain if needed, but we still must resolve this."
155,催收多轮对话场景,无,FAQ相似问,多轮,23,Why is the amount so high?,"We understand it’s stressful. Still, when can you complete the payment?"
156,催收多轮对话场景,无,FAQ相似问,多轮,23,I already paid it.,Our records confirm the balance. Can you check and update us by today?
157,催收多轮对话场景,无,FAQ相似问,多轮,23,I already paid it.,Our records confirm the balance. Can you check and update us by today?
158,催收多轮对话场景,无,FAQ相似问,多轮,24,Jack,"Hi Mr. Jack, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
159,催收多轮对话场景,无,FAQ相似问,多轮,24,Stop bothering me.,"That amount includes principal, interest, and late fees. Please confirm when you'll pay."
160,催收多轮对话场景,无,FAQ相似问,多轮,24,I'll try asking my family.,"That amount includes principal, interest, and late fees. Please confirm when you'll pay."
161,催收多轮对话场景,无,FAQ相似问,多轮,24,Stop bothering me.,"That amount includes principal, interest, and late fees. Please confirm when you'll pay."
162,催收多轮对话场景,无,FAQ相似问,多轮,24,I don't think I owe anything.,When exactly is your salary due? It will help us avoid escalation.
163,催收多轮对话场景,无,FAQ相似问,多轮,24,Can I pay part of it?,"I understand your concern, but delaying will lead to fees. When can you arrange payment?"
164,催收多轮对话场景,无,FAQ相似问,多轮,24,Why is the amount so high?,"I understand your concern, but delaying will lead to fees. When can you arrange payment?"
165,催收多轮对话场景,无,FAQ相似问,多轮,25,Bob,"Hi Mr. Bob, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
166,催收多轮对话场景,无,FAQ相似问,多轮,25,I don't have money now.,We’re required to follow up. Could you tell us your plan to settle this?
167,催收多轮对话场景,无,FAQ相似问,多轮,25,I'm very stressed about this.,"I understand your concern, but delaying will lead to fees. When can you arrange payment?"
168,催收多轮对话场景,无,FAQ相似问,多轮,25,I already paid it.,Our records confirm the balance. Can you check and update us by today?
169,催收多轮对话场景,无,FAQ相似问,多轮,25,Can I pay part of it?,Our records confirm the balance. Can you check and update us by today?
170,催收多轮对话场景,无,FAQ相似问,多轮,26,Jack,"Hi Mr. Jack, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
171,催收多轮对话场景,无,FAQ相似问,多轮,26,Stop bothering me.,"I understand your concern, but delaying will lead to fees. When can you arrange payment?"
172,催收多轮对话场景,无,FAQ相似问,多轮,26,I don't think I owe anything.,Our records confirm the balance. Can you check and update us by today?
173,催收多轮对话场景,无,FAQ相似问,多轮,26,Why is the amount so high?,"Hi, we always follow OJK rules. You may complain if needed, but we still must resolve this."
174,催收多轮对话场景,无,FAQ相似问,多轮,26,Can I pay part of it?,"I understand your concern, but delaying will lead to fees. When can you arrange payment?"
175,催收多轮对话场景,无,FAQ相似问,多轮,26,Why is the amount so high?,"We understand it’s stressful. Still, when can you complete the payment?"
176,催收多轮对话场景,无,FAQ相似问,多轮,26,I'm going to complain to OJK.,When exactly is your salary due? It will help us avoid escalation.
177,催收多轮对话场景,无,FAQ相似问,多轮,27,Dave,"Hi Mr. Dave, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
178,催收多轮对话场景,无,FAQ相似问,多轮,27,Why is the amount so high?,"We understand it’s stressful. Still, when can you complete the payment?"
179,催收多轮对话场景,无,FAQ相似问,多轮,27,I'll try asking my family.,We’re required to follow up. Could you tell us your plan to settle this?
180,催收多轮对话场景,无,FAQ相似问,多轮,27,Can I pay part of it?,We’re required to follow up. Could you tell us your plan to settle this?
181,催收多轮对话场景,无,FAQ相似问,多轮,27,Stop bothering me.,"We understand it’s stressful. Still, when can you complete the payment?"
182,催收多轮对话场景,无,FAQ相似问,多轮,27,Maybe I'll pay next month.,Thank you for telling us. Please provide proof of payment so we can stop the reminders.
183,催收多轮对话场景,无,FAQ相似问,多轮,27,I'm going to complain to OJK.,"Hi, we always follow OJK rules. You may complain if needed, but we still must resolve this."
184,催收多轮对话场景,无,FAQ相似问,多轮,27,Stop bothering me.,Thank you for telling us. Please provide proof of payment so we can stop the reminders.
185,催收多轮对话场景,无,FAQ相似问,多轮,28,Matt,"Hi Mr. Matt, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
186,催收多轮对话场景,无,FAQ相似问,多轮,28,I don't have money now.,"That amount includes principal, interest, and late fees. Please confirm when you'll pay."
187,催收多轮对话场景,无,FAQ相似问,多轮,28,Why is the amount so high?,"That amount includes principal, interest, and late fees. Please confirm when you'll pay."
188,催收多轮对话场景,无,FAQ相似问,多轮,28,I don't think I owe anything.,That’s a good step. Can you confirm if you’ll pay within a few days?
189,催收多轮对话场景,无,FAQ相似问,多轮,28,I'm going to complain to OJK.,We’re required to follow up. Could you tell us your plan to settle this?
190,催收多轮对话场景,无,FAQ相似问,多轮,28,I'm going to complain to OJK.,"I understand your concern, but delaying will lead to fees. When can you arrange payment?"
191,催收多轮对话场景,无,FAQ相似问,多轮,28,Can I pay part of it?,Our records confirm the balance. Can you check and update us by today?
192,催收多轮对话场景,无,FAQ相似问,多轮,29,Jack,"Hi Mr. Jack, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
193,催收多轮对话场景,无,FAQ相似问,多轮,29,I don't have money now.,When exactly is your salary due? It will help us avoid escalation.
194,催收多轮对话场景,无,FAQ相似问,多轮,29,I'm waiting for my salary.,When exactly is your salary due? It will help us avoid escalation.
195,催收多轮对话场景,无,FAQ相似问,多轮,29,I'm waiting for my salary.,"Currently, a minimum repayment of 30% is required within 24 hours. Can you do that?"
196,催收多轮对话场景,无,FAQ相似问,多轮,29,Maybe I'll pay next month.,"We understand it’s stressful. Still, when can you complete the payment?"
197,催收多轮对话场景,无,FAQ相似问,多轮,29,I'm going to complain to OJK.,Waiting until next month is too long. Could you try resolving it this week?
198,催收多轮对话场景,无,FAQ相似问,多轮,29,Why is the amount so high?,"Currently, a minimum repayment of 30% is required within 24 hours. Can you do that?"
199,催收多轮对话场景,无,FAQ相似问,多轮,29,Why is the amount so high?,That’s a good step. Can you confirm if you’ll pay within a few days?
