#,Pregunta,Fuente de Respuesta,Fuente de Pregunta,Satisfactorio,Número de Serie,Contenido de Pregunta,Respuesta de Referencia
20,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,10,Necesito llantas 175/70R14,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C20215 | 175 70 14 COMPASAL BLAZER HP 84H | 6 | $967 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 175/70R14\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $967 - $967\\n\\n¿Cuál modelo le interesa?""}"
21,Saludo inicial,Respuesta cortés,Cliente,Satisfactorio,11,"Buenos días, quiero cotizar","¡Hola! Sí, estamos abiertos y listos para atenderle. ¿Qué necesita?"
22,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,11,Quiero ver precios de 185/65R15,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 185/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1142 - $1142\\n\\n¿Cuál modelo le interesa?""}"
23,Saludo inicial,Respuesta cortés,Cliente,Satisfactorio,12,"Buenos días, vengo por llantas",¡Hola! Me da mucho gusto atenderle. ¿Qué necesita hoy?
24,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,12,Quiero ver precios de 225/60R16,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C70214 | 225 60 16 COMPASAL BLAZER HP 98H | 2 | $1856 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 225/60R16\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1856 - $1856\\n\\n¿Cuál modelo le interesa?""}"
25,Saludo inicial,Respuesta cortés,Cliente,Satisfactorio,13,Buenas tardes,"¡Buenas tardes! Por supuesto, ¿qué información necesita?"
26,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,13,Necesito llantas 205/55R16,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C50212 | 205 55 16 COMPASAL BLAZER HP 94H | 4 | $1567 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 205/55R16\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1567 - $1567\\n\\n¿Cuál modelo le interesa?""}"
27,Saludo inicial,Respuesta cortés,Cliente,Satisfactorio,14,"Buenos días, necesito ayuda","¡Hola! Sí, estamos abiertos y listos para atenderle. ¿Qué necesita?"
28,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,14,Necesito llantas 165/70R13,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C10216 | 165 70 13 COMPASAL BLAZER HP 79H | 4 | $856 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 165/70R13\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $856 - $856\\n\\n¿Cuál modelo le interesa?""}"
29,Saludo inicial,Respuesta cortés,Cliente,Satisfactorio,15,"Buenas, busco neumáticos",¡Buenos días! Estamos aquí para ayudarle con sus neumáticos. ¿Qué busca?
30,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,15,Me interesan las 175/70R14,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C20215 | 175 70 14 COMPASAL BLAZER HP 84H | 6 | $967 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 175/70R14\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $967 - $967\\n\\n¿Cuál modelo le interesa?""}"
31,Saludo inicial,Respuesta cortés,Cliente,Satisfactorio,16,"Hola, necesito información",¡Hola! Me da mucho gusto atenderle. ¿Qué necesita hoy?
32,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,16,Quiero ver precios de 195/65R15,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C40211 | 195 65 15 COMPASAL BLAZER HP 91H | 5 | $1245 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 195/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1245 - $1245\\n\\n¿Cuál modelo le interesa?""}"
33,Saludo inicial,Respuesta cortés,Cliente,Satisfactorio,17,"Buenos días, vengo por llantas","¡Hola! Sí, estamos abiertos y listos para atenderle. ¿Qué necesita?"
34,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,17,Me interesan las 215/60R16,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C60213 | 215 60 16 COMPASAL BLAZER HP 95H | 3 | $1678 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 215/60R16\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1678 - $1678\\n\\n¿Cuál modelo le interesa?""}"
35,Saludo inicial,Respuesta cortés,Cliente,Satisfactorio,18,"Buenas, busco neumáticos","¡Hola! Sí, estamos abiertos y listos para atenderle. ¿Qué necesita?"
36,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,18,Quiero ver precios de 185/65R15,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 185/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1142 - $1142\\n\\n¿Cuál modelo le interesa?""}"
37,Saludo inicial,Respuesta cortés,Cliente,Satisfactorio,19,"Buenas, busco neumáticos","¡Buenas tardes! Por supuesto, ¿qué información necesita?"
38,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,19,Me interesan las 205/55R16,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C50212 | 205 55 16 COMPASAL BLAZER HP 94H | 4 | $1567 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 205/55R16\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1567 - $1567\\n\\n¿Cuál modelo le interesa?""}"
39,Saludo inicial,Respuesta cortés,Cliente,Satisfactorio,20,¡Hola! Buenos días,¡Buenos días! Soy su asistente de ventas de Grupo Magno. ¿Cómo puedo asistirle?
40,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,20,Quiero ver precios de 225/60R16,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C70214 | 225 60 16 COMPASAL BLAZER HP 98H | 2 | $1856 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 225/60R16\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1856 - $1856\\n\\n¿Cuál modelo le interesa?""}"
41,Saludo inicial,Respuesta cortés,Cliente,Satisfactorio,21,"Buenos días, quiero cotizar","¡Buenas tardes! Por supuesto, ¿qué información necesita?"
42,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,21,¿Tienen 225/60R16?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C70214 | 225 60 16 COMPASAL BLAZER HP 98H | 2 | $1856 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 225/60R16\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1856 - $1856\\n\\n¿Cuál modelo le interesa?""}"
43,Saludo inicial,Respuesta cortés,Cliente,Satisfactorio,22,"Hola, necesito información","¡Buenas tardes! Por supuesto, ¿qué información necesita?"
44,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,22,Busco neumáticos 225/60R16,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C70214 | 225 60 16 COMPASAL BLAZER HP 98H | 2 | $1856 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 225/60R16\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1856 - $1856\\n\\n¿Cuál modelo le interesa?""}"
45,Saludo inicial,Respuesta cortés,Cliente,Satisfactorio,23,"Hola, ¿pueden asesorarme?",¡Hola! Bienvenido a Llantasyservicios.mx (Grupo Magno). ¿En qué puedo ayudarle hoy?
46,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,23,Quiero ver precios de 215/60R16,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C60213 | 215 60 16 COMPASAL BLAZER HP 95H | 3 | $1678 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 215/60R16\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1678 - $1678\\n\\n¿Cuál modelo le interesa?""}"
47,Saludo inicial,Respuesta cortés,Cliente,Satisfactorio,24,"Buenas, quisiera información",¡Buenos días! Estamos aquí para ayudarle con sus neumáticos. ¿Qué busca?
48,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,24,¿Tienen 185/65R15?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 185/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1142 - $1142\\n\\n¿Cuál modelo le interesa?""}"
49,Saludo inicial,Respuesta cortés,Cliente,Satisfactorio,25,"Buenos días, vengo por llantas","¡Buenos días! Perfecto, ¿qué tipo de llantas está buscando?"
50,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,25,Me interesan las 205/55R16,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C50212 | 205 55 16 COMPASAL BLAZER HP 94H | 4 | $1567 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 205/55R16\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1567 - $1567\\n\\n¿Cuál modelo le interesa?""}"
51,Consulta vehículo,Recomendación con confirmación,Cliente,Satisfactorio,26,¿Qué llantas necesita mi Mazda 3 2021?,"Para su Mazda 3 2021, la especificación más común es 205/55R16. Para confirmar y mostrarle opciones disponibles, ¿podría verificar los tres parámetros en el lateral de su llanta actual?"
52,Confirmación parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,26,"Sí, confirmo que es 205/55R16","{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C50212 | 205 55 16 COMPASAL BLAZER HP 94H | 4 | $1567 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 205/55R16\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1567 - $1567\\n\\n¿Cuál modelo le interesa?""}"
53,Consulta vehículo,Recomendación con confirmación,Cliente,Satisfactorio,27,¿Qué llantas necesita mi Nissan Sentra 2019?,"Para su Nissan Sentra 2019, la especificación más común es 185/65R15. Para confirmar y mostrarle opciones disponibles, ¿podría verificar los tres parámetros en el lateral de su llanta actual?"
54,Confirmación parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,27,"Sí, confirmo que es 185/65R15","{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 185/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1142 - $1142\\n\\n¿Cuál modelo le interesa?""}"
55,Consulta vehículo,Recomendación con confirmación,Cliente,Satisfactorio,28,¿Qué llantas necesita mi Honda Civic 2021?,"Para su Honda Civic 2021, la especificación más común es 185/65R15. Para confirmar y mostrarle opciones disponibles, ¿podría verificar los tres parámetros en el lateral de su llanta actual?"
56,Confirmación parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,28,"Sí, confirmo que es 185/65R15","{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 185/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1142 - $1142\\n\\n¿Cuál modelo le interesa?""}"
57,Consulta vehículo,Recomendación con confirmación,Cliente,Satisfactorio,29,¿Qué llantas necesita mi Chevrolet Aveo 2020?,"Para su Chevrolet Aveo 2020, la especificación más común es 185/65R15. Para confirmar y mostrarle opciones disponibles, ¿podría verificar los tres parámetros en el lateral de su llanta actual?"
58,Confirmación parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,29,"Sí, confirmo que es 185/65R15","{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 185/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1142 - $1142\\n\\n¿Cuál modelo le interesa?""}"
59,Consulta vehículo,Recomendación con confirmación,Cliente,Satisfactorio,30,¿Qué llantas necesita mi Volkswagen Jetta 2020?,"Para su Volkswagen Jetta 2020, la especificación más común es 205/55R16. Para confirmar y mostrarle opciones disponibles, ¿podría verificar los tres parámetros en el lateral de su llanta actual?"
60,Confirmación parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,30,"Sí, confirmo que es 205/55R16","{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C50212 | 205 55 16 COMPASAL BLAZER HP 94H | 4 | $1567 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 205/55R16\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1567 - $1567\\n\\n¿Cuál modelo le interesa?""}"
61,Consulta vehículo,Recomendación con confirmación,Cliente,Satisfactorio,31,¿Qué llantas necesita mi Nissan Sentra 2019?,"Para su Nissan Sentra 2019, la especificación más común es 185/65R15. Para confirmar y mostrarle opciones disponibles, ¿podría verificar los tres parámetros en el lateral de su llanta actual?"
62,Confirmación parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,31,"Sí, confirmo que es 185/65R15","{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 185/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1142 - $1142\\n\\n¿Cuál modelo le interesa?""}"
63,Consulta vehículo,Recomendación con confirmación,Cliente,Satisfactorio,32,¿Qué llantas necesita mi Volkswagen Jetta 2020?,"Para su Volkswagen Jetta 2020, la especificación más común es 205/55R16. Para confirmar y mostrarle opciones disponibles, ¿podría verificar los tres parámetros en el lateral de su llanta actual?"
64,Confirmación parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,32,"Sí, confirmo que es 205/55R16","{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C50212 | 205 55 16 COMPASAL BLAZER HP 94H | 4 | $1567 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 205/55R16\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1567 - $1567\\n\\n¿Cuál modelo le interesa?""}"
65,Consulta vehículo,Recomendación con confirmación,Cliente,Satisfactorio,33,¿Qué llantas necesita mi Honda Civic 2021?,"Para su Honda Civic 2021, la especificación más común es 185/65R15. Para confirmar y mostrarle opciones disponibles, ¿podría verificar los tres parámetros en el lateral de su llanta actual?"
66,Confirmación parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,33,"Sí, confirmo que es 185/65R15","{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 185/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1142 - $1142\\n\\n¿Cuál modelo le interesa?""}"
67,Consulta vehículo,Recomendación con confirmación,Cliente,Satisfactorio,34,¿Qué llantas necesita mi Hyundai Accent 2021?,"Para su Hyundai Accent 2021, la especificación más común es 185/65R15. Para confirmar y mostrarle opciones disponibles, ¿podría verificar los tres parámetros en el lateral de su llanta actual?"
68,Confirmación parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,34,"Sí, confirmo que es 185/65R15","{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 185/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1142 - $1142\\n\\n¿Cuál modelo le interesa?""}"
69,Consulta vehículo,Recomendación con confirmación,Cliente,Satisfactorio,35,¿Qué llantas necesita mi Volkswagen Jetta 2020?,"Para su Volkswagen Jetta 2020, la especificación más común es 205/55R16. Para confirmar y mostrarle opciones disponibles, ¿podría verificar los tres parámetros en el lateral de su llanta actual?"
70,Confirmación parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,35,"Sí, confirmo que es 205/55R16","{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C50212 | 205 55 16 COMPASAL BLAZER HP 94H | 4 | $1567 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 205/55R16\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1567 - $1567\\n\\n¿Cuál modelo le interesa?""}"
71,Consulta vehículo,Recomendación con confirmación,Cliente,Satisfactorio,36,¿Qué llantas necesita mi Suzuki Swift 2020?,"Para su Suzuki Swift 2020, la especificación más común es 175/70R14. Para confirmar y mostrarle opciones disponibles, ¿podría verificar los tres parámetros en el lateral de su llanta actual?"
72,Confirmación parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,36,"Sí, confirmo que es 175/70R14","{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C20215 | 175 70 14 COMPASAL BLAZER HP 84H | 6 | $967 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 175/70R14\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $967 - $967\\n\\n¿Cuál modelo le interesa?""}"
73,Consulta vehículo,Recomendación con confirmación,Cliente,Satisfactorio,37,¿Qué llantas necesita mi Ford Focus 2019?,"Para su Ford Focus 2019, la especificación más común es 205/55R16. Para confirmar y mostrarle opciones disponibles, ¿podría verificar los tres parámetros en el lateral de su llanta actual?"
74,Confirmación parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,37,"Sí, confirmo que es 205/55R16","{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C50212 | 205 55 16 COMPASAL BLAZER HP 94H | 4 | $1567 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 205/55R16\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1567 - $1567\\n\\n¿Cuál modelo le interesa?""}"
