#,Pregunta,Fuente de Respuesta,Fuente de Pregunta,Satisfactorio,Número de Serie,Contenido de Pregunta,Respuesta de Referencia
1,Consulta de especificaciones de neumáticos - Parámetros completos disponibles,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,1,Necesito llantas 185/65R15 para mi auto,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\n|:------------|:--------------------|:------|:-------|\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\n| LL-C29885 | 185 65 R15 92H XL BLACKHAWK HH11 AUTO | 1 | $1156 |\n| CCCC2342 | 185/65 R15 88H ANSU OPTECO A1 | 1 | $1192 |\n| C79647 | 185 65 R15 SAFERICH FRC16 88H | 1 | $1294 |\n| C000231 | 185 65 R15 GOODYEAR ASSURANCE 88T | 1 | $1906 |\n| CCCC1836 | 185 65 R15 JK TYRE VECTRA 92T | 6 | $2030 |\n"", ""desc"": ""🌟 ¡Hola! Me complace atenderle. Soy su asistente de ventas de **Llantasyservicios.mx** (también conocido como **Grupo Magno**), su aliado en neumáticos y servicios automotrices en Ciudad de México.\n\n🔍 Búsqueda completada para neumáticos de Auto - Medida: 185/65R15\n\n📊 Información de su búsqueda:\n✅ Neumáticos encontrados: 6\n👁️ Resultados mostrados: 6\n🚗 Tipo: Auto\n📏 Especificación: 185/65R15\n\n💰 Rango de precios: $1142 - $2030\n\n🏆 Sus opciones de neumáticos:\n1. 185 65 15 COMPASAL BLAZER HP 88H - $1142 (Disponible: 8)\n2. 185 65 R15 92H XL BLACKHAWK HH11 AUTO - $1156 (Disponible: 1)\n3. 185/65 R15 88H ANSU OPTECO A1 - $1192 (Disponible: 1)\n4. 185 65 R15 SAFERICH FRC16 88H - $1294 (Disponible: 1)\n5. 185 65 R15 GOODYEAR ASSURANCE 88T - $1906 (Disponible: 1)\n6. 185 65 R15 JK TYRE VECTRA 92T - $2030 (Disponible: 6)\n\n💡 Información importante: Nuestro precio incluye instalación, válvula nueva y servicio de balanceo.\n\n🤝 En Grupo Magno nos preocupamos por su seguridad y satisfacción. ¿Puedo ayudarle con algo más?""}"
13,Consulta de stock,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,13,¿Tienen disponible 185/65R15?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\n|:------------|:--------------------|:------|:-------|\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\n| LL-C29885 | 185 65 R15 92H XL BLACKHAWK HH11 AUTO | 1 | $1156 |\n| CCCC2342 | 185/65 R15 88H ANSU OPTECO A1 | 1 | $1192 |\n| C79647 | 185 65 R15 SAFERICH FRC16 88H | 1 | $1294 |\n| C000231 | 185 65 R15 GOODYEAR ASSURANCE 88T | 1 | $1906 |\n| CCCC1836 | 185 65 R15 JK TYRE VECTRA 92T | 6 | $2030 |\n"", ""desc"": ""🔍 Resultados de Búsqueda de Neumáticos - Neumático de Auto (185/65R15)\n\n📊 Estadísticas de Búsqueda:\n✅ Neumáticos encontrados: 6\n👁️ Cantidad mostrada: 6\n🚗 Tipo de neumático: Auto\n📏 Especificación de búsqueda: 185/65R15\n\n💰 Rango de precios: $1142 - $2030\n\n🏆 Neumáticos recomendados:\n1. 185 65 15 COMPASAL BLAZER HP 88H - $1142\n2. 185 65 R15 92H XL BLACKHAWK HH11 AUTO - $1156\n3. 185/65 R15 88H ANSU OPTECO A1 - $1192\n4. 185 65 R15 SAFERICH FRC16 88H - $1294\n5. 185 65 R15 GOODYEAR ASSURANCE 88T - $1906\n6. 185 65 R15 JK TYRE VECTRA 92T - $2030\n\n¿Cuál modelo le interesa?""}"
14,Consulta de stock,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,14,¿Tienen disponible 185/65R15?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\n|:------------|:--------------------|:------|:-------|\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\n| LL-C29885 | 185 65 R15 92H XL BLACKHAWK HH11 AUTO | 1 | $1156 |\n| CCCC2342 | 185/65 R15 88H ANSU OPTECO A1 | 1 | $1192 |\n| C79647 | 185 65 R15 SAFERICH FRC16 88H | 1 | $1294 |\n| C000231 | 185 65 R15 GOODYEAR ASSURANCE 88T | 1 | $1906 |\n| CCCC1836 | 185 65 R15 JK TYRE VECTRA 92T | 6 | $2030 |\n"", ""desc"": ""🔍 Resultados de Búsqueda de Neumáticos - Neumático de Auto (185/65R15)\n\n📊 Estadísticas de Búsqueda:\n✅ Neumáticos encontrados: 6\n👁️ Cantidad mostrada: 6\n🚗 Tipo de neumático: Auto\n📏 Especificación de búsqueda: 185/65R15\n\n💰 Rango de precios: $1142 - $2030\n\n🏆 Neumáticos recomendados:\n1. 185 65 15 COMPASAL BLAZER HP 88H - $1142\n2. 185 65 R15 92H XL BLACKHAWK HH11 AUTO - $1156\n3. 185/65 R15 88H ANSU OPTECO A1 - $1192\n4. 185 65 R15 SAFERICH FRC16 88H - $1294\n5. 185 65 R15 GOODYEAR ASSURANCE 88T - $1906\n6. 185 65 R15 JK TYRE VECTRA 92T - $2030\n\n¿Cuál modelo le interesa?""}"
15,Consulta de stock,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,15,¿Tienen disponible 185/65R15?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\n|:------------|:--------------------|:------|:-------|\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\n| LL-C29885 | 185 65 R15 92H XL BLACKHAWK HH11 AUTO | 1 | $1156 |\n| CCCC2342 | 185/65 R15 88H ANSU OPTECO A1 | 1 | $1192 |\n| C79647 | 185 65 R15 SAFERICH FRC16 88H | 1 | $1294 |\n| C000231 | 185 65 R15 GOODYEAR ASSURANCE 88T | 1 | $1906 |\n| CCCC1836 | 185 65 R15 JK TYRE VECTRA 92T | 6 | $2030 |\n"", ""desc"": ""🔍 Resultados de Búsqueda de Neumáticos - Neumático de Auto (185/65R15)\n\n📊 Estadísticas de Búsqueda:\n✅ Neumáticos encontrados: 6\n👁️ Cantidad mostrada: 6\n🚗 Tipo de neumático: Auto\n📏 Especificación de búsqueda: 185/65R15\n\n💰 Rango de precios: $1142 - $2030\n\n🏆 Neumáticos recomendados:\n1. 185 65 15 COMPASAL BLAZER HP 88H - $1142\n2. 185 65 R15 92H XL BLACKHAWK HH11 AUTO - $1156\n3. 185/65 R15 88H ANSU OPTECO A1 - $1192\n4. 185 65 R15 SAFERICH FRC16 88H - $1294\n5. 185 65 R15 GOODYEAR ASSURANCE 88T - $1906\n6. 185 65 R15 JK TYRE VECTRA 92T - $2030\n\n¿Cuál modelo le interesa?""}"
16,Consulta de stock,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,16,¿Tienen disponible 185/65R15?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\n|:------------|:--------------------|:------|:-------|\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\n| LL-C29885 | 185 65 R15 92H XL BLACKHAWK HH11 AUTO | 1 | $1156 |\n| CCCC2342 | 185/65 R15 88H ANSU OPTECO A1 | 1 | $1192 |\n| C79647 | 185 65 R15 SAFERICH FRC16 88H | 1 | $1294 |\n| C000231 | 185 65 R15 GOODYEAR ASSURANCE 88T | 1 | $1906 |\n| CCCC1836 | 185 65 R15 JK TYRE VECTRA 92T | 6 | $2030 |\n"", ""desc"": ""🔍 Resultados de Búsqueda de Neumáticos - Neumático de Auto (185/65R15)\n\n📊 Estadísticas de Búsqueda:\n✅ Neumáticos encontrados: 6\n👁️ Cantidad mostrada: 6\n🚗 Tipo de neumático: Auto\n📏 Especificación de búsqueda: 185/65R15\n\n💰 Rango de precios: $1142 - $2030\n\n🏆 Neumáticos recomendados:\n1. 185 65 15 COMPASAL BLAZER HP 88H - $1142\n2. 185 65 R15 92H XL BLACKHAWK HH11 AUTO - $1156\n3. 185/65 R15 88H ANSU OPTECO A1 - $1192\n4. 185 65 R15 SAFERICH FRC16 88H - $1294\n5. 185 65 R15 GOODYEAR ASSURANCE 88T - $1906\n6. 185 65 R15 JK TYRE VECTRA 92T - $2030\n\n¿Cuál modelo le interesa?""}"
17,Consulta de stock,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,17,¿Tienen disponible 185/65R15?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\n|:------------|:--------------------|:------|:-------|\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\n| LL-C29885 | 185 65 R15 92H XL BLACKHAWK HH11 AUTO | 1 | $1156 |\n| CCCC2342 | 185/65 R15 88H ANSU OPTECO A1 | 1 | $1192 |\n| C79647 | 185 65 R15 SAFERICH FRC16 88H | 1 | $1294 |\n| C000231 | 185 65 R15 GOODYEAR ASSURANCE 88T | 1 | $1906 |\n| CCCC1836 | 185 65 R15 JK TYRE VECTRA 92T | 6 | $2030 |\n"", ""desc"": ""🔍 Resultados de Búsqueda de Neumáticos - Neumático de Auto (185/65R15)\n\n📊 Estadísticas de Búsqueda:\n✅ Neumáticos encontrados: 6\n👁️ Cantidad mostrada: 6\n🚗 Tipo de neumático: Auto\n📏 Especificación de búsqueda: 185/65R15\n\n💰 Rango de precios: $1142 - $2030\n\n🏆 Neumáticos recomendados:\n1. 185 65 15 COMPASAL BLAZER HP 88H - $1142\n2. 185 65 R15 92H XL BLACKHAWK HH11 AUTO - $1156\n3. 185/65 R15 88H ANSU OPTECO A1 - $1192\n4. 185 65 R15 SAFERICH FRC16 88H - $1294\n5. 185 65 R15 GOODYEAR ASSURANCE 88T - $1906\n6. 185 65 R15 JK TYRE VECTRA 92T - $2030\n\n¿Cuál modelo le interesa?""}"
18,Consulta de stock,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,18,¿Tienen disponible 185/65R15?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\n|:------------|:--------------------|:------|:-------|\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\n| LL-C29885 | 185 65 R15 92H XL BLACKHAWK HH11 AUTO | 1 | $1156 |\n| CCCC2342 | 185/65 R15 88H ANSU OPTECO A1 | 1 | $1192 |\n| C79647 | 185 65 R15 SAFERICH FRC16 88H | 1 | $1294 |\n| C000231 | 185 65 R15 GOODYEAR ASSURANCE 88T | 1 | $1906 |\n| CCCC1836 | 185 65 R15 JK TYRE VECTRA 92T | 6 | $2030 |\n"", ""desc"": ""🔍 Resultados de Búsqueda de Neumáticos - Neumático de Auto (185/65R15)\n\n📊 Estadísticas de Búsqueda:\n✅ Neumáticos encontrados: 6\n👁️ Cantidad mostrada: 6\n🚗 Tipo de neumático: Auto\n📏 Especificación de búsqueda: 185/65R15\n\n💰 Rango de precios: $1142 - $2030\n\n🏆 Neumáticos recomendados:\n1. 185 65 15 COMPASAL BLAZER HP 88H - $1142\n2. 185 65 R15 92H XL BLACKHAWK HH11 AUTO - $1156\n3. 185/65 R15 88H ANSU OPTECO A1 - $1192\n4. 185 65 R15 SAFERICH FRC16 88H - $1294\n5. 185 65 R15 GOODYEAR ASSURANCE 88T - $1906\n6. 185 65 R15 JK TYRE VECTRA 92T - $2030\n\n¿Cuál modelo le interesa?""}"
19,Consulta de stock,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,19,¿Tienen disponible 185/65R15?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\n|:------------|:--------------------|:------|:-------|\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\n| LL-C29885 | 185 65 R15 92H XL BLACKHAWK HH11 AUTO | 1 | $1156 |\n| CCCC2342 | 185/65 R15 88H ANSU OPTECO A1 | 1 | $1192 |\n| C79647 | 185 65 R15 SAFERICH FRC16 88H | 1 | $1294 |\n| C000231 | 185 65 R15 GOODYEAR ASSURANCE 88T | 1 | $1906 |\n| CCCC1836 | 185 65 R15 JK TYRE VECTRA 92T | 6 | $2030 |\n"", ""desc"": ""🔍 Resultados de Búsqueda de Neumáticos - Neumático de Auto (185/65R15)\n\n📊 Estadísticas de Búsqueda:\n✅ Neumáticos encontrados: 6\n👁️ Cantidad mostrada: 6\n🚗 Tipo de neumático: Auto\n📏 Especificación de búsqueda: 185/65R15\n\n💰 Rango de precios: $1142 - $2030\n\n🏆 Neumáticos recomendados:\n1. 185 65 15 COMPASAL BLAZER HP 88H - $1142\n2. 185 65 R15 92H XL BLACKHAWK HH11 AUTO - $1156\n3. 185/65 R15 88H ANSU OPTECO A1 - $1192\n4. 185 65 R15 SAFERICH FRC16 88H - $1294\n5. 185 65 R15 GOODYEAR ASSURANCE 88T - $1906\n6. 185 65 R15 JK TYRE VECTRA 92T - $2030\n\n¿Cuál modelo le interesa?""}"
20,Consulta de stock,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,20,¿Tienen disponible 185/65R15?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\n|:------------|:--------------------|:------|:-------|\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\n| LL-C29885 | 185 65 R15 92H XL BLACKHAWK HH11 AUTO | 1 | $1156 |\n| CCCC2342 | 185/65 R15 88H ANSU OPTECO A1 | 1 | $1192 |\n| C79647 | 185 65 R15 SAFERICH FRC16 88H | 1 | $1294 |\n| C000231 | 185 65 R15 GOODYEAR ASSURANCE 88T | 1 | $1906 |\n| CCCC1836 | 185 65 R15 JK TYRE VECTRA 92T | 6 | $2030 |\n"", ""desc"": ""🔍 Resultados de Búsqueda de Neumáticos - Neumático de Auto (185/65R15)\n\n📊 Estadísticas de Búsqueda:\n✅ Neumáticos encontrados: 6\n👁️ Cantidad mostrada: 6\n🚗 Tipo de neumático: Auto\n📏 Especificación de búsqueda: 185/65R15\n\n💰 Rango de precios: $1142 - $2030\n\n🏆 Neumáticos recomendados:\n1. 185 65 15 COMPASAL BLAZER HP 88H - $1142\n2. 185 65 R15 92H XL BLACKHAWK HH11 AUTO - $1156\n3. 185/65 R15 88H ANSU OPTECO A1 - $1192\n4. 185 65 R15 SAFERICH FRC16 88H - $1294\n5. 185 65 R15 GOODYEAR ASSURANCE 88T - $1906\n6. 185 65 R15 JK TYRE VECTRA 92T - $2030\n\n¿Cuál modelo le interesa?""}"
21,Consulta de stock,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,21,¿Tienen disponible 185/65R15?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\n|:------------|:--------------------|:------|:-------|\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\n| LL-C29885 | 185 65 R15 92H XL BLACKHAWK HH11 AUTO | 1 | $1156 |\n| CCCC2342 | 185/65 R15 88H ANSU OPTECO A1 | 1 | $1192 |\n| C79647 | 185 65 R15 SAFERICH FRC16 88H | 1 | $1294 |\n| C000231 | 185 65 R15 GOODYEAR ASSURANCE 88T | 1 | $1906 |\n| CCCC1836 | 185 65 R15 JK TYRE VECTRA 92T | 6 | $2030 |\n"", ""desc"": ""🔍 Resultados de Búsqueda de Neumáticos - Neumático de Auto (185/65R15)\n\n📊 Estadísticas de Búsqueda:\n✅ Neumáticos encontrados: 6\n👁️ Cantidad mostrada: 6\n🚗 Tipo de neumático: Auto\n📏 Especificación de búsqueda: 185/65R15\n\n💰 Rango de precios: $1142 - $2030\n\n🏆 Neumáticos recomendados:\n1. 185 65 15 COMPASAL BLAZER HP 88H - $1142\n2. 185 65 R15 92H XL BLACKHAWK HH11 AUTO - $1156\n3. 185/65 R15 88H ANSU OPTECO A1 - $1192\n4. 185 65 R15 SAFERICH FRC16 88H - $1294\n5. 185 65 R15 GOODYEAR ASSURANCE 88T - $1906\n6. 185 65 R15 JK TYRE VECTRA 92T - $2030\n\n¿Cuál modelo le interesa?""}"
22,Consulta de stock,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,22,¿Tienen disponible 185/65R15?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\n|:------------|:--------------------|:------|:-------|\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\n| LL-C29885 | 185 65 R15 92H XL BLACKHAWK HH11 AUTO | 1 | $1156 |\n| CCCC2342 | 185/65 R15 88H ANSU OPTECO A1 | 1 | $1192 |\n| C79647 | 185 65 R15 SAFERICH FRC16 88H | 1 | $1294 |\n| C000231 | 185 65 R15 GOODYEAR ASSURANCE 88T | 1 | $1906 |\n| CCCC1836 | 185 65 R15 JK TYRE VECTRA 92T | 6 | $2030 |\n"", ""desc"": ""🔍 Resultados de Búsqueda de Neumáticos - Neumático de Auto (185/65R15)\n\n📊 Estadísticas de Búsqueda:\n✅ Neumáticos encontrados: 6\n👁️ Cantidad mostrada: 6\n🚗 Tipo de neumático: Auto\n📏 Especificación de búsqueda: 185/65R15\n\n💰 Rango de precios: $1142 - $2030\n\n🏆 Neumáticos recomendados:\n1. 185 65 15 COMPASAL BLAZER HP 88H - $1142\n2. 185 65 R15 92H XL BLACKHAWK HH11 AUTO - $1156\n3. 185/65 R15 88H ANSU OPTECO A1 - $1192\n4. 185 65 R15 SAFERICH FRC16 88H - $1294\n5. 185 65 R15 GOODYEAR ASSURANCE 88T - $1906\n6. 185 65 R15 JK TYRE VECTRA 92T - $2030\n\n¿Cuál modelo le interesa?""}"
23,Consulta de stock,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,23,¿Tienen disponible 185/65R15?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\n|:------------|:--------------------|:------|:-------|\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\n| LL-C29885 | 185 65 R15 92H XL BLACKHAWK HH11 AUTO | 1 | $1156 |\n| CCCC2342 | 185/65 R15 88H ANSU OPTECO A1 | 1 | $1192 |\n| C79647 | 185 65 R15 SAFERICH FRC16 88H | 1 | $1294 |\n| C000231 | 185 65 R15 GOODYEAR ASSURANCE 88T | 1 | $1906 |\n| CCCC1836 | 185 65 R15 JK TYRE VECTRA 92T | 6 | $2030 |\n"", ""desc"": ""🔍 Resultados de Búsqueda de Neumáticos - Neumático de Auto (185/65R15)\n\n📊 Estadísticas de Búsqueda:\n✅ Neumáticos encontrados: 6\n👁️ Cantidad mostrada: 6\n🚗 Tipo de neumático: Auto\n📏 Especificación de búsqueda: 185/65R15\n\n💰 Rango de precios: $1142 - $2030\n\n🏆 Neumáticos recomendados:\n1. 185 65 15 COMPASAL BLAZER HP 88H - $1142\n2. 185 65 R15 92H XL BLACKHAWK HH11 AUTO - $1156\n3. 185/65 R15 88H ANSU OPTECO A1 - $1192\n4. 185 65 R15 SAFERICH FRC16 88H - $1294\n5. 185 65 R15 GOODYEAR ASSURANCE 88T - $1906\n6. 185 65 R15 JK TYRE VECTRA 92T - $2030\n\n¿Cuál modelo le interesa?""}"
24,Consulta de stock,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,24,¿Tienen disponible 185/65R15?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\n|:------------|:--------------------|:------|:-------|\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\n| LL-C29885 | 185 65 R15 92H XL BLACKHAWK HH11 AUTO | 1 | $1156 |\n| CCCC2342 | 185/65 R15 88H ANSU OPTECO A1 | 1 | $1192 |\n| C79647 | 185 65 R15 SAFERICH FRC16 88H | 1 | $1294 |\n| C000231 | 185 65 R15 GOODYEAR ASSURANCE 88T | 1 | $1906 |\n| CCCC1836 | 185 65 R15 JK TYRE VECTRA 92T | 6 | $2030 |\n"", ""desc"": ""🔍 Resultados de Búsqueda de Neumáticos - Neumático de Auto (185/65R15)\n\n📊 Estadísticas de Búsqueda:\n✅ Neumáticos encontrados: 6\n👁️ Cantidad mostrada: 6\n🚗 Tipo de neumático: Auto\n📏 Especificación de búsqueda: 185/65R15\n\n💰 Rango de precios: $1142 - $2030\n\n🏆 Neumáticos recomendados:\n1. 185 65 15 COMPASAL BLAZER HP 88H - $1142\n2. 185 65 R15 92H XL BLACKHAWK HH11 AUTO - $1156\n3. 185/65 R15 88H ANSU OPTECO A1 - $1192\n4. 185 65 R15 SAFERICH FRC16 88H - $1294\n5. 185 65 R15 GOODYEAR ASSURANCE 88T - $1906\n6. 185 65 R15 JK TYRE VECTRA 92T - $2030\n\n¿Cuál modelo le interesa?""}"
25,Consulta de stock,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,25,¿Tienen disponible 185/65R15?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\n|:------------|:--------------------|:------|:-------|\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\n| LL-C29885 | 185 65 R15 92H XL BLACKHAWK HH11 AUTO | 1 | $1156 |\n| CCCC2342 | 185/65 R15 88H ANSU OPTECO A1 | 1 | $1192 |\n| C79647 | 185 65 R15 SAFERICH FRC16 88H | 1 | $1294 |\n| C000231 | 185 65 R15 GOODYEAR ASSURANCE 88T | 1 | $1906 |\n| CCCC1836 | 185 65 R15 JK TYRE VECTRA 92T | 6 | $2030 |\n"", ""desc"": ""🔍 Resultados de Búsqueda de Neumáticos - Neumático de Auto (185/65R15)\n\n📊 Estadísticas de Búsqueda:\n✅ Neumáticos encontrados: 6\n👁️ Cantidad mostrada: 6\n🚗 Tipo de neumático: Auto\n📏 Especificación de búsqueda: 185/65R15\n\n💰 Rango de precios: $1142 - $2030\n\n🏆 Neumáticos recomendados:\n1. 185 65 15 COMPASAL BLAZER HP 88H - $1142\n2. 185 65 R15 92H XL BLACKHAWK HH11 AUTO - $1156\n3. 185/65 R15 88H ANSU OPTECO A1 - $1192\n4. 185 65 R15 SAFERICH FRC16 88H - $1294\n5. 185 65 R15 GOODYEAR ASSURANCE 88T - $1906\n6. 185 65 R15 JK TYRE VECTRA 92T - $2030\n\n¿Cuál modelo le interesa?""}"
26,Consulta de stock,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,26,¿Tienen disponible 185/65R15?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\n|:------------|:--------------------|:------|:-------|\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\n| LL-C29885 | 185 65 R15 92H XL BLACKHAWK HH11 AUTO | 1 | $1156 |\n| CCCC2342 | 185/65 R15 88H ANSU OPTECO A1 | 1 | $1192 |\n| C79647 | 185 65 R15 SAFERICH FRC16 88H | 1 | $1294 |\n| C000231 | 185 65 R15 GOODYEAR ASSURANCE 88T | 1 | $1906 |\n| CCCC1836 | 185 65 R15 JK TYRE VECTRA 92T | 6 | $2030 |\n"", ""desc"": ""🔍 Resultados de Búsqueda de Neumáticos - Neumático de Auto (185/65R15)\n\n📊 Estadísticas de Búsqueda:\n✅ Neumáticos encontrados: 6\n👁️ Cantidad mostrada: 6\n🚗 Tipo de neumático: Auto\n📏 Especificación de búsqueda: 185/65R15\n\n💰 Rango de precios: $1142 - $2030\n\n🏆 Neumáticos recomendados:\n1. 185 65 15 COMPASAL BLAZER HP 88H - $1142\n2. 185 65 R15 92H XL BLACKHAWK HH11 AUTO - $1156\n3. 185/65 R15 88H ANSU OPTECO A1 - $1192\n4. 185 65 R15 SAFERICH FRC16 88H - $1294\n5. 185 65 R15 GOODYEAR ASSURANCE 88T - $1906\n6. 185 65 R15 JK TYRE VECTRA 92T - $2030\n\n¿Cuál modelo le interesa?""}"
27,Consulta de stock,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,27,¿Tienen disponible 185/65R15?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\n|:------------|:--------------------|:------|:-------|\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\n| LL-C29885 | 185 65 R15 92H XL BLACKHAWK HH11 AUTO | 1 | $1156 |\n| CCCC2342 | 185/65 R15 88H ANSU OPTECO A1 | 1 | $1192 |\n| C79647 | 185 65 R15 SAFERICH FRC16 88H | 1 | $1294 |\n| C000231 | 185 65 R15 GOODYEAR ASSURANCE 88T | 1 | $1906 |\n| CCCC1836 | 185 65 R15 JK TYRE VECTRA 92T | 6 | $2030 |\n"", ""desc"": ""🔍 Resultados de Búsqueda de Neumáticos - Neumático de Auto (185/65R15)\n\n📊 Estadísticas de Búsqueda:\n✅ Neumáticos encontrados: 6\n👁️ Cantidad mostrada: 6\n🚗 Tipo de neumático: Auto\n📏 Especificación de búsqueda: 185/65R15\n\n💰 Rango de precios: $1142 - $2030\n\n🏆 Neumáticos recomendados:\n1. 185 65 15 COMPASAL BLAZER HP 88H - $1142\n2. 185 65 R15 92H XL BLACKHAWK HH11 AUTO - $1156\n3. 185/65 R15 88H ANSU OPTECO A1 - $1192\n4. 185 65 R15 SAFERICH FRC16 88H - $1294\n5. 185 65 R15 GOODYEAR ASSURANCE 88T - $1906\n6. 185 65 R15 JK TYRE VECTRA 92T - $2030\n\n¿Cuál modelo le interesa?""}"
28,Consulta de stock,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,28,¿Tienen disponible 185/65R15?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\n|:------------|:--------------------|:------|:-------|\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\n| LL-C29885 | 185 65 R15 92H XL BLACKHAWK HH11 AUTO | 1 | $1156 |\n| CCCC2342 | 185/65 R15 88H ANSU OPTECO A1 | 1 | $1192 |\n| C79647 | 185 65 R15 SAFERICH FRC16 88H | 1 | $1294 |\n| C000231 | 185 65 R15 GOODYEAR ASSURANCE 88T | 1 | $1906 |\n| CCCC1836 | 185 65 R15 JK TYRE VECTRA 92T | 6 | $2030 |\n"", ""desc"": ""🔍 Resultados de Búsqueda de Neumáticos - Neumático de Auto (185/65R15)\n\n📊 Estadísticas de Búsqueda:\n✅ Neumáticos encontrados: 6\n👁️ Cantidad mostrada: 6\n🚗 Tipo de neumático: Auto\n📏 Especificación de búsqueda: 185/65R15\n\n💰 Rango de precios: $1142 - $2030\n\n🏆 Neumáticos recomendados:\n1. 185 65 15 COMPASAL BLAZER HP 88H - $1142\n2. 185 65 R15 92H XL BLACKHAWK HH11 AUTO - $1156\n3. 185/65 R15 88H ANSU OPTECO A1 - $1192\n4. 185 65 R15 SAFERICH FRC16 88H - $1294\n5. 185 65 R15 GOODYEAR ASSURANCE 88T - $1906\n6. 185 65 R15 JK TYRE VECTRA 92T - $2030\n\n¿Cuál modelo le interesa?""}"
