#,Pregunta,Fuente de Respuesta,Fuente de Pregunta,Satisfactorio,Número de Serie,Contenido de Pregunta,Respuesta de Referencia
11,Saludo inicial,Respuesta cortés,Cliente,Satisfactorio,6,¡Hola! Buenos días,¡Buenos días! Estamos aquí para ayudarle con sus neumáticos. ¿Qué busca?
12,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,6,¿Tienen 195/65R15?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C40211 | 195 65 15 COMPASAL BLAZER HP 91H | 5 | $1245 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 195/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1245 - $1245\\n\\n¿Cuál modelo le interesa?""}"
13,Saludo inicial,Respuesta cortés,Cliente,Satisfactorio,7,"Hola, ¿me pueden atender?","¡Hola! Claro que sí, estamos para servirle. ¿En qué le ayudo?"
14,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,7,Me interesan las 175/70R14,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C20215 | 175 70 14 COMPASAL BLAZER HP 84H | 6 | $967 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 175/70R14\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $967 - $967\\n\\n¿Cuál modelo le interesa?""}"
15,Saludo inicial,Respuesta cortés,Cliente,Satisfactorio,8,¡Hola! Buenos días,¡Hola! Me da mucho gusto atenderle. ¿Qué necesita hoy?
16,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,8,Me interesan las 215/60R16,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C60213 | 215 60 16 COMPASAL BLAZER HP 95H | 3 | $1678 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 215/60R16\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1678 - $1678\\n\\n¿Cuál modelo le interesa?""}"
17,Saludo inicial,Respuesta cortés,Cliente,Satisfactorio,9,¡Hola! ¿Están abiertos?,¡Hola! Bienvenido a Llantasyservicios.mx (Grupo Magno). ¿En qué puedo ayudarle hoy?
18,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,9,¿Tienen 165/70R13?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C10216 | 165 70 13 COMPASAL BLAZER HP 79H | 4 | $856 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 165/70R13\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $856 - $856\\n\\n¿Cuál modelo le interesa?""}"
19,Saludo inicial,Respuesta cortés,Cliente,Satisfactorio,10,"Hola, ¿cómo están?","¡Buenos días! Perfecto, ¿qué tipo de llantas está buscando?"
20,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,10,¿Tienen 185/65R15?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 185/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1142 - $1142\\n\\n¿Cuál modelo le interesa?""}"
21,Saludo inicial,Respuesta cortés,Cliente,Satisfactorio,11,"Buenas, quisiera información",¡Hola! Bienvenido a Llantasyservicios.mx (Grupo Magno). ¿En qué puedo ayudarle hoy?
22,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,11,¿Tienen 185/65R15?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 185/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1142 - $1142\\n\\n¿Cuál modelo le interesa?""}"
23,Saludo inicial,Respuesta cortés,Cliente,Satisfactorio,12,¡Hola! Buenos días,¡Hola! Bienvenido a Llantasyservicios.mx (Grupo Magno). ¿En qué puedo ayudarle hoy?
24,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,12,Me interesan las 195/65R15,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C40211 | 195 65 15 COMPASAL BLAZER HP 91H | 5 | $1245 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 195/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1245 - $1245\\n\\n¿Cuál modelo le interesa?""}"
25,Saludo inicial,Respuesta cortés,Cliente,Satisfactorio,13,"Hola, ¿cómo están?","¡Hola! Claro que sí, estamos para servirle. ¿En qué le ayudo?"
26,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,13,Me interesan las 185/65R15,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 185/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1142 - $1142\\n\\n¿Cuál modelo le interesa?""}"
27,Saludo inicial,Respuesta cortés,Cliente,Satisfactorio,14,"Buenos días, necesito ayuda",¡Hola! Me da mucho gusto atenderle. ¿Qué necesita hoy?
28,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,14,¿Tienen 175/70R14?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C20215 | 175 70 14 COMPASAL BLAZER HP 84H | 6 | $967 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 175/70R14\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $967 - $967\\n\\n¿Cuál modelo le interesa?""}"
29,Saludo inicial,Respuesta cortés,Cliente,Satisfactorio,15,Buenas tardes,"¡Hola! Sí, estamos abiertos y listos para atenderle. ¿Qué necesita?"
30,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,15,¿Tienen 185/65R15?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 185/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1142 - $1142\\n\\n¿Cuál modelo le interesa?""}"
31,Consulta vehículo,Recomendación con confirmación,Cliente,Satisfactorio,16,¿Qué llantas necesita mi Chevrolet Aveo 2020?,"Para su Chevrolet Aveo 2020, la especificación más común es 185/65R15. Para confirmar y mostrarle opciones disponibles, ¿podría verificar los tres parámetros en el lateral de su llanta actual?"
32,Confirmación parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,16,"Sí, confirmo que es 185/65R15","{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 185/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1142 - $1142\\n\\n¿Cuál modelo le interesa?""}"
33,Consulta vehículo,Recomendación con confirmación,Cliente,Satisfactorio,17,¿Qué llantas necesita mi Chevrolet Aveo 2020?,"Para su Chevrolet Aveo 2020, la especificación más común es 185/65R15. Para confirmar y mostrarle opciones disponibles, ¿podría verificar los tres parámetros en el lateral de su llanta actual?"
34,Confirmación parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,17,"Sí, confirmo que es 185/65R15","{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 185/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1142 - $1142\\n\\n¿Cuál modelo le interesa?""}"
35,Consulta vehículo,Recomendación con confirmación,Cliente,Satisfactorio,18,¿Qué llantas necesita mi Hyundai Accent 2021?,"Para su Hyundai Accent 2021, la especificación más común es 185/65R15. Para confirmar y mostrarle opciones disponibles, ¿podría verificar los tres parámetros en el lateral de su llanta actual?"
36,Confirmación parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,18,"Sí, confirmo que es 185/65R15","{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 185/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1142 - $1142\\n\\n¿Cuál modelo le interesa?""}"
37,Consulta vehículo,Recomendación con confirmación,Cliente,Satisfactorio,19,¿Qué llantas necesita mi Chevrolet Aveo 2020?,"Para su Chevrolet Aveo 2020, la especificación más común es 185/65R15. Para confirmar y mostrarle opciones disponibles, ¿podría verificar los tres parámetros en el lateral de su llanta actual?"
38,Confirmación parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,19,"Sí, confirmo que es 185/65R15","{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 185/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1142 - $1142\\n\\n¿Cuál modelo le interesa?""}"
39,Consulta vehículo,Recomendación con confirmación,Cliente,Satisfactorio,20,¿Qué llantas necesita mi Toyota Corolla 2020?,"Para su Toyota Corolla 2020, la especificación más común es 185/65R15. Para confirmar y mostrarle opciones disponibles, ¿podría verificar los tres parámetros en el lateral de su llanta actual?"
40,Confirmación parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,20,"Sí, confirmo que es 185/65R15","{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 185/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1142 - $1142\\n\\n¿Cuál modelo le interesa?""}"
41,Consulta vehículo,Recomendación con confirmación,Cliente,Satisfactorio,21,¿Qué llantas necesita mi Ford Focus 2019?,"Para su Ford Focus 2019, la especificación más común es 205/55R16. Para confirmar y mostrarle opciones disponibles, ¿podría verificar los tres parámetros en el lateral de su llanta actual?"
42,Confirmación parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,21,"Sí, confirmo que es 205/55R16","{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C50212 | 205 55 16 COMPASAL BLAZER HP 94H | 4 | $1567 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 205/55R16\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1567 - $1567\\n\\n¿Cuál modelo le interesa?""}"
43,Consulta vehículo,Recomendación con confirmación,Cliente,Satisfactorio,22,¿Qué llantas necesita mi Honda Civic 2021?,"Para su Honda Civic 2021, la especificación más común es 185/65R15. Para confirmar y mostrarle opciones disponibles, ¿podría verificar los tres parámetros en el lateral de su llanta actual?"
44,Confirmación parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,22,"Sí, confirmo que es 185/65R15","{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 185/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1142 - $1142\\n\\n¿Cuál modelo le interesa?""}"
45,Consulta vehículo,Recomendación con confirmación,Cliente,Satisfactorio,23,¿Qué llantas necesita mi Nissan Sentra 2019?,"Para su Nissan Sentra 2019, la especificación más común es 185/65R15. Para confirmar y mostrarle opciones disponibles, ¿podría verificar los tres parámetros en el lateral de su llanta actual?"
46,Confirmación parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,23,"Sí, confirmo que es 185/65R15","{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 185/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1142 - $1142\\n\\n¿Cuál modelo le interesa?""}"
47,Consulta vehículo,Recomendación con confirmación,Cliente,Satisfactorio,24,¿Qué llantas necesita mi Suzuki Swift 2020?,"Para su Suzuki Swift 2020, la especificación más común es 175/70R14. Para confirmar y mostrarle opciones disponibles, ¿podría verificar los tres parámetros en el lateral de su llanta actual?"
48,Confirmación parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,24,"Sí, confirmo que es 175/70R14","{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C20215 | 175 70 14 COMPASAL BLAZER HP 84H | 6 | $967 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 175/70R14\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $967 - $967\\n\\n¿Cuál modelo le interesa?""}"
49,Consulta vehículo,Recomendación con confirmación,Cliente,Satisfactorio,25,¿Qué llantas necesita mi Chevrolet Aveo 2020?,"Para su Chevrolet Aveo 2020, la especificación más común es 185/65R15. Para confirmar y mostrarle opciones disponibles, ¿podría verificar los tres parámetros en el lateral de su llanta actual?"
50,Confirmación parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,25,"Sí, confirmo que es 185/65R15","{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 185/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1142 - $1142\\n\\n¿Cuál modelo le interesa?""}"
51,Consulta entrega/tienda,Información logística,Cliente,Satisfactorio,26,¿Hacen entregas a domicilio?,"Sí, ofrecemos servicio de entrega a domicilio: gratis en CDMX y Estado de México. Otras zonas por paquetería con costo al cliente. Si son más de 100 llantas fuera de la ciudad, el envío es gratuito."
52,Consulta entrega/tienda,Información logística,Cliente,Satisfactorio,27,¿Cuánto cobran por envío?,En CDMX y Estado de México la entrega es gratuita. Para otras zonas el costo varía según la paquetería. ¿A qué ciudad necesita el envío?
53,Consulta entrega/tienda,Información logística,Cliente,Satisfactorio,28,¿Envían a Guadalajara?,"Sí, enviamos a Guadalajara por paquetería. El costo es por cuenta del cliente, excepto si compra más de 100 llantas que sería envío gratuito."
54,Consulta entrega/tienda,Información logística,Cliente,Satisfactorio,29,¿Puedo recoger en tienda?,"Por supuesto, puede recoger en nuestra tienda en Calz de las Armas 591, CDMX. Horarios: lunes a viernes 9:00-18:00, sábados 9:00-15:00."
55,Consulta entrega/tienda,Información logística,Cliente,Satisfactorio,30,¿Dónde están ubicados?,"Estamos en Calz de las Armas 591, Azcapotzalco, CDMX. Horarios: lunes a viernes 9:00-18:00, sábados 9:00-15:00."
56,Consulta entrega/tienda,Información logística,Cliente,Satisfactorio,31,¿Puedo ir a comprar directamente?,¡Por supuesto! Puede venir directamente a nuestra tienda. Tendremos ofertas adicionales disponibles en compra presencial.
57,Consulta entrega/tienda,Información logística,Cliente,Satisfactorio,32,¿Qué horarios manejan?,Atendemos lunes a viernes de 9:00 a 18:00 horas y sábados de 9:00 a 15:00 horas. Descansamos domingos.
58,Consulta entrega/tienda,Información logística,Cliente,Satisfactorio,33,¿Tienen estacionamiento?,"Sí, contamos con área de estacionamiento para la comodidad de nuestros clientes."
59,Consulta entrega/tienda,Información logística,Cliente,Satisfactorio,34,¿Instalan ahí mismo?,"Sí, instalamos en el momento. El servicio incluye desmontaje, montaje, balanceo y válvula nueva. Toma aproximadamente 30 minutos."
60,Consulta entrega/tienda,Información logística,Cliente,Satisfactorio,35,¿Necesito cita para la instalación?,"Es recomendable hacer cita previa para garantizar disponibilidad inmediata, aunque también atendemos sin cita según disponibilidad."
61,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,36,Me interesan las 215/60R16,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C60213 | 215 60 16 COMPASAL BLAZER HP 95H | 3 | $1678 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 215/60R16\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1678 - $1678\\n\\n¿Cuál modelo le interesa?""}"
62,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,37,Precio de 185/65R15,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 185/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1142 - $1142\\n\\n¿Cuál modelo le interesa?""}"
63,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,38,¿Cuánto cuestan las 215/60R16?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C60213 | 215 60 16 COMPASAL BLAZER HP 95H | 3 | $1678 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 215/60R16\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1678 - $1678\\n\\n¿Cuál modelo le interesa?""}"
64,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,39,Precio de 165/70R13,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C10216 | 165 70 13 COMPASAL BLAZER HP 79H | 4 | $856 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 165/70R13\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $856 - $856\\n\\n¿Cuál modelo le interesa?""}"
65,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,40,¿Cuánto cuestan las 165/70R13?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C10216 | 165 70 13 COMPASAL BLAZER HP 79H | 4 | $856 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 165/70R13\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $856 - $856\\n\\n¿Cuál modelo le interesa?""}"
66,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,41,Necesito llantas 215/60R16,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C60213 | 215 60 16 COMPASAL BLAZER HP 95H | 3 | $1678 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 215/60R16\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1678 - $1678\\n\\n¿Cuál modelo le interesa?""}"
67,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,42,¿Tienen disponible 215/60R16?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C60213 | 215 60 16 COMPASAL BLAZER HP 95H | 3 | $1678 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 215/60R16\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1678 - $1678\\n\\n¿Cuál modelo le interesa?""}"
68,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,43,¿Tienen disponible 215/60R16?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C60213 | 215 60 16 COMPASAL BLAZER HP 95H | 3 | $1678 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 215/60R16\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1678 - $1678\\n\\n¿Cuál modelo le interesa?""}"
69,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,44,Me interesan las 205/55R16,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C50212 | 205 55 16 COMPASAL BLAZER HP 94H | 4 | $1567 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 205/55R16\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1567 - $1567\\n\\n¿Cuál modelo le interesa?""}"
70,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,45,Precio de 175/70R14,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C20215 | 175 70 14 COMPASAL BLAZER HP 84H | 6 | $967 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 175/70R14\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $967 - $967\\n\\n¿Cuál modelo le interesa?""}"
71,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,46,¿Tienen disponible 185/65R15?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 185/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1142 - $1142\\n\\n¿Cuál modelo le interesa?""}"
72,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,47,Precio de 195/65R15,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C40211 | 195 65 15 COMPASAL BLAZER HP 91H | 5 | $1245 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 195/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1245 - $1245\\n\\n¿Cuál modelo le interesa?""}"
